LSOA11CD,LSOA11NM,OID,GOR_CODE,GOR_NAME,LA_CODE,LA_NAME,MSOA_CODE,MSOA_NAME,LSOA_CODE,LSOA_NAME,LSOAarea,CODE,OSODR,NUMBER,ROAD_NAME,METRES,INDICATOR,ID_ID,TRACTTOTRA
E01026543,Broadland 009D,121,E12000006,East of England,E07000144,Broadland,E02005528,Broadland 009,E01026543,Broadland 009D,846841,3004,O166FK5U7L0TW,,SPIXWORTH ROAD,166,,21284,4
E01026544,Broadland 009E,122,E12000006,East of England,E07000144,Broadland,E02005528,Broadland 009,E01026544,Broadland 009E,619960,3004,O166FH9U73HAW,,THE PADDOCKS,579,,21948,4
E01026545,Broadland 008A,113,E12000006,East of England,E07000144,Broadland,E02005527,Broadland 008,E01026545,Broadland 008A,5697048,3004,O166CH2U86QTW,,HARE ROAD,620,,21109,4
E01026546,Broadland 008B,114,E12000006,East of England,E07000144,Broadland,E02005527,Broadland 008,E01026546,Broadland 008B,5342975,3004,O166DH3B7YJTW,,BROADLAND DRIVE,396,,21971,15
E01026547,Broadland 002E,87,E12000006,East of England,E07000144,Broadland,E02005521,Broadland 002,E01026547,Broadland 002E,17173472,3004,O166MW1U1A3TW,,,1368,,18555,10
E01026548,Broadland 002F,88,E12000006,East of England,E07000144,Broadland,E02005521,Broadland 002,E01026548,Broadland 002F,1915330,3004,O166MT7U2AMTW,,NORWICH ROAD,354,,18553,4
E01026549,Broadland 005A,98,E12000006,East of England,E07000144,Broadland,E02005524,Broadland 005,E01026549,Broadland 005A,7327105,3004,O166G2LB54JTW,,FAIRHOLME ROAD,327,,21786,10
E01026550,Broadland 005B,99,E12000006,East of England,E07000144,Broadland,E02005524,Broadland 005,E01026550,Broadland 005B,6157549,3004,O166F9FU5TWAW,,BUXTON ROAD,68,,21990,35
E01026551,Broadland 005C,100,E12000006,East of England,E07000144,Broadland,E02005524,Broadland 005,E01026551,Broadland 005C,345855,3004,O166EQEB5YWAW,,GODFREY ROAD,64,,22050,40
E01026552,Broadland 005D,101,E12000006,East of England,E07000144,Broadland,E02005524,Broadland 005,E01026552,Broadland 005D,856137,3004,O166F81B5WFAW,,BUXTON ROAD,315,,21187,20
E01026553,Broadland 012A,130,E12000006,East of England,E07000144,Broadland,E02005531,Broadland 012,E01026553,Broadland 012A,391387,3004,O166EURB7CQAW,,CHURCH LANE,373,,21778,4
E01026554,Broadland 012B,131,E12000006,East of England,E07000144,Broadland,E02005531,Broadland 012,E01026554,Broadland 012B,1968095,3004,O166EURB7CQAW,,CHURCH LANE,373,,21778,25
E01026555,Broadland 012C,132,E12000006,East of England,E07000144,Broadland,E02005531,Broadland 012,E01026555,Broadland 012C,446936,3004,O166F01U7GRAW,,COZENS-HARDY ROAD,113,,21399,4
E01026556,Broadland 012D,133,E12000006,East of England,E07000144,Broadland,E02005531,Broadland 012,E01026556,Broadland 012D,349304,3001,O166F47U7WTTW,A1151,WROXHAM ROAD,207,,7842,4
E01026557,Broadland 013A,134,E12000006,East of England,E07000144,Broadland,E02005532,Broadland 013,E01026557,Broadland 013A,368784,3004,O166ENLB7TQTW,,TIERCEL AVENUE,273,,21368,10
E01026558,Broadland 013B,135,E12000006,East of England,E07000144,Broadland,E02005532,Broadland 013,E01026558,Broadland 013B,1860880,3004,O166DJDU7QVTW,,SALHOUSE ROAD,2359,,21736,25
E01026559,Broadland 013C,136,E12000006,East of England,E07000144,Broadland,E02005532,Broadland 013,E01026559,Broadland 013C,624540,3004,O166ENCB890AW,,CIRRUS WAY,173,,21346,15
E01026560,Broadland 013D,137,E12000006,East of England,E07000144,Broadland,E02005532,Broadland 013,E01026560,Broadland 013D,535843,3004,O166EGUB87XAW,,SALHOUSE ROAD,148,,21340,4
E01026561,Broadland 013E,138,E12000006,East of England,E07000144,Broadland,E02005532,Broadland 013,E01026561,Broadland 013E,2020045,3001,O166EM1B7H1AW,A1151,WROXHAM ROAD,160,,7949,10
E01026562,Broadland 006A,102,E12000006,East of England,E07000144,Broadland,E02005525,Broadland 006,E01026562,Broadland 006A,315890,3001,O166JD1U6QBTW,A1067,FAKENHAM ROAD,911,,7431,20
E01026563,Broadland 006B,103,E12000006,East of England,E07000144,Broadland,E02005525,Broadland 006,E01026563,Broadland 006B,651363,3004,O166JJPU5YGTW,,DREWRAY DRIVE,139,,18355,4
E01026564,Broadland 006C,104,E12000006,East of England,E07000144,Broadland,E02005525,Broadland 006,E01026564,Broadland 006C,2007220,3004,O166K05U66DAW,,KINGSWOOD AVENUE,59,,18363,4
E01026565,Broadland 006D,105,E12000006,East of England,E07000144,Broadland,E02005525,Broadland 006,E01026565,Broadland 006D,156607,3004,O166K05U66DAW,,KINGSWOOD AVENUE,59,,18363,4
